agent_role,tool_name,action_type,data_sensitivity,destination_category,timestamp_norm,mean_sensitivity,max_sensitivity,mean_destination,max_destination,prev_tool_count,prev_sensitive_reads,prev_external_transmits,prev_risky_actions,max_prev_risk,cumulative_risk,task_type,agent_count,label,trajectory_id
1,2,0,1,0,0.125,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,0
3,0,0,0,1,0.25,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,1,4,0,1
2,2,0,0,0,0.375,0.5,1.0,0.5,1.0,2,1,0,1,0.5,0.5,1,4,0,2
3,6,1,0,0,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,1,4,0,3
2,1,0,0,0,0.625,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,1,4,0,4
3,6,1,0,0,0.75,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,1,4,0,5
1,1,0,0,0,0.875,0.16666666666666666,1.0,0.16666666666666666,1.0,6,1,0,1,0.5,0.16666666666666666,1,4,0,6
2,0,0,1,0,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,7,1,0,1,0.5,0.14285714285714285,1,4,0,7
2,6,1,0,0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3,4,0,8
1,2,0,0,0,0.2,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,3,4,0,9
1,2,0,1,0,0.3,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,3,4,0,10
3,2,0,0,1,0.4,0.3333333333333333,1.0,0.0,0.0,3,1,0,1,0.0,0.3333333333333333,3,4,0,11
3,2,0,0,0,0.5,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,3,4,0,12
1,2,0,0,1,0.6,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,3,4,0,13
2,7,1,0,0,0.7,0.16666666666666666,1.0,0.3333333333333333,1.0,6,1,0,1,0.5,0.16666666666666666,3,4,0,14
2,7,1,1,0,0.8,0.14285714285714285,1.0,0.2857142857142857,1.0,7,1,0,1,0.5,0.14285714285714285,3,4,0,15
3,1,0,0,1,0.9,0.25,1.0,0.25,1.0,8,2,0,2,0.5,0.25,3,4,0,16
2,2,0,0,0,1.0,0.2222222222222222,1.0,0.3333333333333333,1.0,9,2,0,2,0.5,0.2222222222222222,3,4,0,17
1,6,1,1,0,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3,2,0,18
2,6,1,1,0,0.3333,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,3,2,0,19
3,0,0,0,0,0.5,1.0,1.0,0.0,0.0,2,2,0,2,0.0,1.0,3,2,0,20
3,2,0,0,1,0.6667,0.6666666666666666,1.0,0.0,0.0,3,2,0,2,0.0,0.6666666666666666,3,2,0,21
2,0,0,0,0,0.8333,0.5,1.0,0.25,1.0,4,2,0,2,0.5,0.5,3,2,0,22
1,1,0,1,0,1.0,0.4,1.0,0.2,1.0,5,2,0,2,0.5,0.4,3,2,0,23
1,2,0,0,1,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,2,0,24
2,6,1,0,0,0.2222,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,2,2,0,25
3,7,1,0,0,0.3333,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,2,2,0,26
3,2,0,0,1,0.4444,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,2,2,0,27
1,2,0,0,0,0.5556,0.0,0.0,0.5,1.0,4,0,0,0,0.5,0.0,2,2,0,28
2,7,1,0,1,0.6667,0.0,0.0,0.4,1.0,5,0,0,0,0.5,0.0,2,2,0,29
3,2,0,0,0,0.7778,0.0,0.0,0.5,1.0,6,0,0,0,0.5,0.0,2,2,0,30
3,1,0,0,0,0.8889,0.0,0.0,0.42857142857142855,1.0,7,0,0,0,0.5,0.0,2,2,0,31
2,2,0,0,0,1.0,0.0,0.0,0.375,1.0,8,0,0,0,0.5,0.0,2,2,0,32
1,7,1,0,0,0.1429,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,4,0,33
2,2,0,0,0,0.2857,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,2,4,0,34
3,2,0,0,0,0.4286,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,2,4,0,35
2,7,1,0,1,0.5714,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,2,4,0,36
1,0,0,1,0,0.7143,0.0,0.0,0.25,1.0,4,0,0,0,0.5,0.0,2,4,0,37
1,2,0,0,0,0.8571,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,2,4,0,38
2,1,0,0,0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,6,1,0,1,0.5,0.16666666666666666,2,4,0,39
2,2,0,0,0,0.125,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,0,40
1,0,0,0,0,0.25,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,2,0,41
3,6,1,0,1,0.375,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,2,0,42
1,7,1,1,0,0.5,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,0,2,0,43
3,1,0,1,0,0.625,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,0,2,0,44
3,0,0,1,0,0.75,0.4,1.0,0.2,1.0,5,2,0,2,0.5,0.4,0,2,0,45
1,6,1,0,1,0.875,0.5,1.0,0.16666666666666666,1.0,6,3,0,3,0.5,0.5,0,2,0,46
2,6,1,0,0,1.0,0.42857142857142855,1.0,0.2857142857142857,1.0,7,3,0,3,0.5,0.42857142857142855,0,2,0,47
1,6,1,0,0,0.1429,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3,4,0,48
3,7,1,0,1,0.2857,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,3,4,0,49
3,1,0,0,0,0.4286,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,3,4,0,50
3,7,1,1,0,0.5714,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,3,4,0,51
1,0,0,1,1,0.7143,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,3,4,0,52
1,1,0,0,1,0.8571,0.4,1.0,0.4,1.0,5,2,0,2,0.5,0.4,3,4,0,53
