agent_role,tool_name,action_type,data_sensitivity,destination_category,timestamp_norm,mean_sensitivity,max_sensitivity,mean_destination,max_destination,prev_tool_count,prev_sensitive_reads,prev_external_transmits,prev_risky_actions,max_prev_risk,cumulative_risk,task_type,agent_count,label,trajectory_id
2,2,0,0,1,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,0,0
2,2,0,0,0,0.3333,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,0,2,0,1
3,2,0,0,0,0.5,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,0,2,0,2
3,6,1,0,1,0.6667,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,0,2,0,3
3,1,0,0,0,0.8333,0.0,0.0,0.5,1.0,4,0,0,0,0.5,0.0,0,2,0,4
1,0,0,0,0,1.0,0.0,0.0,0.4,1.0,5,0,0,0,0.5,0.0,0,2,0,5
2,7,1,0,0,0.125,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,3,0,6
1,6,1,0,1,0.25,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,1,3,0,7
2,0,0,0,1,0.375,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,1,3,0,8
1,7,1,0,0,0.5,0.0,0.0,0.6666666666666666,1.0,3,0,0,0,0.5,0.0,1,3,0,9
2,6,1,1,0,0.625,0.0,0.0,0.5,1.0,4,0,0,0,0.5,0.0,1,3,0,10
1,2,0,0,0,0.75,0.2,1.0,0.4,1.0,5,1,0,1,0.5,0.2,1,3,0,11
2,7,1,1,0,0.875,0.16666666666666666,1.0,0.3333333333333333,1.0,6,1,0,1,0.5,0.16666666666666666,1,3,0,12
3,1,0,0,1,1.0,0.2857142857142857,1.0,0.2857142857142857,1.0,7,2,0,2,0.5,0.2857142857142857,1,3,0,13
1,7,1,1,0,0.25,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,2,0,14
2,2,0,0,0,0.5,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,2,2,0,15
1,0,0,0,1,0.75,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,2,2,0,16
3,1,0,0,1,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,2,2,0,17
3,7,1,1,0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,4,0,18
2,2,0,0,0,0.2,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,2,4,0,19
1,1,0,0,0,0.3,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,2,4,0,20
1,2,0,0,0,0.4,0.3333333333333333,1.0,0.0,0.0,3,1,0,1,0.0,0.3333333333333333,2,4,0,21
2,2,0,0,1,0.5,0.25,1.0,0.0,0.0,4,1,0,1,0.0,0.25,2,4,0,22
2,0,0,0,1,0.6,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,2,4,0,23
2,2,0,0,0,0.7,0.16666666666666666,1.0,0.3333333333333333,1.0,6,1,0,1,0.5,0.16666666666666666,2,4,0,24
1,6,1,0,1,0.8,0.14285714285714285,1.0,0.2857142857142857,1.0,7,1,0,1,0.5,0.14285714285714285,2,4,0,25
1,2,0,0,0,0.9,0.125,1.0,0.375,1.0,8,1,0,1,0.5,0.125,2,4,0,26
1,2,0,0,0,1.0,0.1111111111111111,1.0,0.3333333333333333,1.0,9,1,0,1,0.5,0.1111111111111111,2,4,0,27
1,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,3,0,28
2,2,0,1,0,0.2,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,1,3,0,29
3,2,0,0,1,0.3,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,1,3,0,30
1,2,0,0,0,0.4,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,1,3,0,31
1,2,0,0,0,0.5,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,1,3,0,32
1,1,0,1,1,0.6,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,1,3,0,33
2,0,0,0,1,0.7,0.3333333333333333,1.0,0.3333333333333333,1.0,6,2,0,2,0.5,0.3333333333333333,1,3,0,34
2,0,0,0,0,0.8,0.2857142857142857,1.0,0.42857142857142855,1.0,7,2,0,2,0.5,0.2857142857142857,1,3,0,35
3,6,1,1,0,0.9,0.25,1.0,0.375,1.0,8,2,0,2,0.5,0.25,1,3,0,36
2,1,0,0,1,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,9,3,0,3,0.5,0.3333333333333333,1,3,0,37
2,7,1,0,1,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,3,0,38
1,7,1,0,1,0.2,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,1,3,0,39
2,1,0,0,1,0.3,0.0,0.0,1.0,1.0,2,0,0,0,0.5,0.0,1,3,0,40
1,7,1,0,0,0.4,0.0,0.0,1.0,1.0,3,0,0,0,0.5,0.0,1,3,0,41
3,2,0,1,0,0.5,0.0,0.0,0.75,1.0,4,0,0,0,0.5,0.0,1,3,0,42
1,2,0,0,1,0.6,0.2,1.0,0.6,1.0,5,1,0,1,0.5,0.2,1,3,0,43
2,2,0,0,1,0.7,0.16666666666666666,1.0,0.6666666666666666,1.0,6,1,0,1,0.5,0.16666666666666666,1,3,0,44
1,7,1,0,0,0.8,0.14285714285714285,1.0,0.7142857142857143,1.0,7,1,0,1,0.5,0.14285714285714285,1,3,0,45
2,0,0,0,0,0.9,0.125,1.0,0.625,1.0,8,1,0,1,0.5,0.125,1,3,0,46
3,1,0,0,0,1.0,0.1111111111111111,1.0,0.5555555555555556,1.0,9,1,0,1,0.5,0.1111111111111111,1,3,0,47
1,2,0,0,0,0.125,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,0,48
3,6,1,0,0,0.25,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,1,2,0,49
1,0,0,0,0,0.375,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,1,2,0,50
2,7,1,0,0,0.5,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,1,2,0,51
2,2,0,0,1,0.625,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.0,1,2,0,52
3,2,0,0,1,0.75,0.0,0.0,0.2,1.0,5,0,0,0,0.5,0.0,1,2,0,53
1,1,0,0,0,0.875,0.0,0.0,0.3333333333333333,1.0,6,0,0,0,0.5,0.0,1,2,0,54
2,1,0,0,0,1.0,0.0,0.0,0.2857142857142857,1.0,7,0,0,0,0.5,0.0,1,2,0,55
2,1,0,0,0,0.25,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3,4,0,56
2,1,0,1,0,0.5,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,3,4,0,57
2,6,1,0,1,0.75,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,3,4,0,58
2,6,1,0,0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,3,4,0,59
3,2,0,0,0,0.125,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3,2,0,60
2,6,1,0,0,0.25,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,3,2,0,61
2,7,1,0,0,0.375,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,3,2,0,62
3,1,0,0,0,0.5,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,3,2,0,63
2,6,1,0,0,0.625,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.0,3,2,0,64
2,7,1,0,0,0.75,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,3,2,0,65
1,1,0,0,0,0.875,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.0,3,2,0,66
1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,3,2,0,67
3,6,1,1,1,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,2,0,68
1,6,1,0,0,0.2,1.0,1.0,1.0,1.0,1,1,0,1,0.5,1.0,1,2,0,69
2,1,0,1,0,0.3,0.5,1.0,0.5,1.0,2,1,0,1,0.5,0.5,1,2,0,70
1,6,1,0,0,0.4,0.6666666666666666,1.0,0.3333333333333333,1.0,3,2,0,2,0.5,0.6666666666666666,1,2,0,71
3,1,0,0,0,0.5,0.5,1.0,0.25,1.0,4,2,0,2,0.5,0.5,1,2,0,72
3,2,0,0,0,0.6,0.4,1.0,0.2,1.0,5,2,0,2,0.5,0.4,1,2,0,73
1,1,0,0,0,0.7,0.3333333333333333,1.0,0.16666666666666666,1.0,6,2,0,2,0.5,0.3333333333333333,1,2,0,74
1,0,0,0,0,0.8,0.2857142857142857,1.0,0.14285714285714285,1.0,7,2,0,2,0.5,0.2857142857142857,1,2,0,75
2,0,0,0,0,0.9,0.25,1.0,0.125,1.0,8,2,0,2,0.5,0.25,1,2,0,76
1,2,0,0,1,1.0,0.2222222222222222,1.0,0.1111111111111111,1.0,9,2,0,2,0.5,0.2222222222222222,1,2,0,77
2,7,1,1,0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3,3,0,78
1,1,0,0,1,0.2,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,3,3,0,79
1,7,1,0,0,0.3,0.5,1.0,0.5,1.0,2,1,0,1,0.5,0.5,3,3,0,80
3,0,0,0,0,0.4,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,3,3,0,81
3,0,0,0,1,0.5,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,3,3,0,82
2,1,0,0,0,0.6,0.2,1.0,0.4,1.0,5,1,0,1,0.5,0.2,3,3,0,83
1,2,0,0,0,0.7,0.16666666666666666,1.0,0.3333333333333333,1.0,6,1,0,1,0.5,0.16666666666666666,3,3,0,84
3,6,1,0,0,0.8,0.14285714285714285,1.0,0.2857142857142857,1.0,7,1,0,1,0.5,0.14285714285714285,3,3,0,85
3,1,0,0,0,0.9,0.125,1.0,0.25,1.0,8,1,0,1,0.5,0.125,3,3,0,86
3,0,0,1,1,1.0,0.1111111111111111,1.0,0.2222222222222222,1.0,9,1,0,1,0.5,0.1111111111111111,3,3,0,87
2,0,0,0,0,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,0,88
2,1,0,0,0,0.2222,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,2,0,89
1,6,1,0,0,0.3333,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,2,0,90
2,7,1,0,0,0.4444,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,2,0,91
1,0,0,0,0,0.5556,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0,2,0,92
1,6,1,0,0,0.6667,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0,2,0,93
3,6,1,0,0,0.7778,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.0,0,2,0,94
3,6,1,0,0,0.8889,0.0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0,2,0,95
1,6,1,0,1,1.0,0.0,0.0,0.0,0.0,8,0,0,0,0.0,0.0,0,2,0,96
3,6,1,1,0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,97
3,2,0,0,0,0.4,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,1,4,0,98
1,2,0,0,0,0.6,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,1,4,0,99
3,2,0,0,0,0.8,0.3333333333333333,1.0,0.0,0.0,3,1,0,1,0.0,0.3333333333333333,1,4,0,100
2,2,0,0,1,1.0,0.25,1.0,0.0,0.0,4,1,0,1,0.0,0.25,1,4,0,101
2,1,0,0,0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,3,3,0,102
2,0,0,0,0,0.4,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,3,3,0,103
2,1,0,0,0,0.6,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,3,3,0,104
1,7,1,1,0,0.8,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,3,3,0,105
3,2,0,0,0,1.0,0.25,1.0,0.0,0.0,4,1,0,1,0.0,0.25,3,3,0,106
3,2,0,0,1,0.25,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,107
3,6,1,0,0,0.5,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,1,4,0,108
2,2,0,0,0,0.75,0.0,0.0,0.5,1.0,2,0,0,0,0.5,0.0,1,4,0,109
3,7,1,0,0,1.0,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,1,4,0,110
3,6,1,1,1,0.1429,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,3,0,111
3,6,1,0,0,0.2857,1.0,1.0,1.0,1.0,1,1,0,1,0.5,1.0,1,3,0,112
1,0,0,0,1,0.4286,0.5,1.0,0.5,1.0,2,1,0,1,0.5,0.5,1,3,0,113
2,1,0,0,0,0.5714,0.3333333333333333,1.0,0.6666666666666666,1.0,3,1,0,1,0.5,0.3333333333333333,1,3,0,114
3,2,0,0,1,0.7143,0.25,1.0,0.5,1.0,4,1,0,1,0.5,0.25,1,3,0,115
1,7,1,1,1,0.8571,0.2,1.0,0.6,1.0,5,1,0,1,0.5,0.2,1,3,0,116
3,7,1,1,0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,6,2,0,2,0.5,0.3333333333333333,1,3,0,117
2,1,0,1,0,0.1429,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,3,0,118
2,6,1,0,1,0.2857,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,2,3,0,119
3,0,0,0,0,0.4286,0.5,1.0,0.5,1.0,2,1,0,1,0.5,0.5,2,3,0,120
1,6,1,0,0,0.5714,0.3333333333333333,1.0,0.3333333333333333,1.0,3,1,0,1,0.5,0.3333333333333333,2,3,0,121
2,6,1,0,0,0.7143,0.25,1.0,0.25,1.0,4,1,0,1,0.5,0.25,2,3,0,122
3,2,0,0,0,0.8571,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,2,3,0,123
3,1,0,1,1,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,6,1,0,1,0.5,0.16666666666666666,2,3,0,124
2,1,0,1,0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,4,0,125
3,7,1,0,0,0.4,1.0,1.0,0.0,0.0,1,1,0,1,0.0,1.0,0,4,0,126
3,6,1,1,1,0.6,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,0,4,0,127
2,2,0,0,0,0.8,0.6666666666666666,1.0,0.3333333333333333,1.0,3,2,0,2,0.5,0.6666666666666666,0,4,0,128
1,7,1,0,0,1.0,0.5,1.0,0.25,1.0,4,2,0,2,0.5,0.5,0,4,0,129
3,1,0,0,0,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,4,0,130
1,6,1,0,0,0.3333,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,4,0,131
1,2,0,0,0,0.5,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,4,0,132
2,6,1,1,0,0.6667,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0,4,0,133
1,1,0,0,1,0.8333,0.25,1.0,0.0,0.0,4,1,0,1,0.0,0.25,0,4,0,134
3,0,0,1,0,1.0,0.2,1.0,0.2,1.0,5,1,0,1,0.5,0.2,0,4,0,135
1,2,0,0,0,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,4,0,136
3,0,0,1,0,0.2222,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,4,0,137
3,6,1,1,1,0.3333,0.5,1.0,0.0,0.0,2,1,0,1,0.0,0.5,0,4,0,138
3,1,0,0,1,0.4444,0.6666666666666666,1.0,0.3333333333333333,1.0,3,2,0,2,0.5,0.6666666666666666,0,4,0,139
3,2,0,0,0,0.5556,0.5,1.0,0.5,1.0,4,2,0,2,0.5,0.5,0,4,0,140
3,7,1,0,0,0.6667,0.4,1.0,0.4,1.0,5,2,0,2,0.5,0.4,0,4,0,141
3,0,0,0,0,0.7778,0.3333333333333333,1.0,0.3333333333333333,1.0,6,2,0,2,0.5,0.3333333333333333,0,4,0,142
3,2,0,0,0,0.8889,0.2857142857142857,1.0,0.2857142857142857,1.0,7,2,0,2,0.5,0.2857142857142857,0,4,0,143
3,7,1,0,1,1.0,0.25,1.0,0.25,1.0,8,2,0,2,0.5,0.25,0,4,0,144
2,7,1,0,0,0.1111,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,4,0,145
2,7,1,0,0,0.2222,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,1,4,0,146
3,1,0,0,1,0.3333,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,1,4,0,147
3,1,0,0,0,0.4444,0.0,0.0,0.3333333333333333,1.0,3,0,0,0,0.5,0.0,1,4,0,148
2,2,0,0,1,0.5556,0.0,0.0,0.25,1.0,4,0,0,0,0.5,0.0,1,4,0,149
1,2,0,1,0,0.6667,0.0,0.0,0.4,1.0,5,0,0,0,0.5,0.0,1,4,0,150
1,6,1,0,0,0.7778,0.16666666666666666,1.0,0.3333333333333333,1.0,6,1,0,1,0.5,0.16666666666666666,1,4,0,151
2,6,1,0,1,0.8889,0.14285714285714285,1.0,0.2857142857142857,1.0,7,1,0,1,0.5,0.14285714285714285,1,4,0,152
1,7,1,0,1,1.0,0.125,1.0,0.375,1.0,8,1,0,1,0.5,0.125,1,4,0,153
2,1,0,0,1,0.1667,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,2,0,154
3,1,0,0,1,0.3333,0.0,0.0,1.0,1.0,1,0,0,0,0.5,0.0,2,2,0,155
3,6,1,0,1,0.5,0.0,0.0,1.0,1.0,2,0,0,0,0.5,0.0,2,2,0,156
2,2,0,0,1,0.6667,0.0,0.0,1.0,1.0,3,0,0,0,0.5,0.0,2,2,0,157
1,7,1,0,0,0.8333,0.0,0.0,1.0,1.0,4,0,0,0,0.5,0.0,2,2,0,158
2,2,0,0,0,1.0,0.0,0.0,0.8,1.0,5,0,0,0,0.5,0.0,2,2,0,159
3,6,1,0,0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,2,0,160
2,1,0,0,1,0.4,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,2,0,161
